,120 * (),"83 * (Turn, Touching - [Item:['Paddle']])","3 * (Move, Touching - [Item:['Edge', 'Paddle']])","7 * (Turn, Touching - [Item:['Edge']])","48 * (Move, Turn, Touching - [Item:['Paddle']])","10 * (Touching - [Item:['Paddle']],)","139 * (Touching - [Item:['Edge']],)","305 * (Move, Touching - [Item:['Paddle']])","1374 * (Move, Touching - [Item:['Edge']])","6465 * (Move,)","62 * (Turn,)","120 * (Move, Turn, Touching - [Item:['Edge']])","1 * (Move, Turn, Touching - [Item:['Edge', 'Paddle']])","120 * (Move, Turn)",y,data_index
0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1111-1
1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1111-2
2,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1111-3
3,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1111-4
4,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1111-5
5,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1111-6
6,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1111-7
7,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1111-8
8,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1111-9
9,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1111-10
10,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1110-1
11,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1110-2
12,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1110-3
13,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1110-4
14,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1110-5
15,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1110-6
16,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1110-7
17,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1110-8
18,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1110-9
19,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1110-10
20,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-1
21,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-2
22,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-3
23,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-4
24,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-5
25,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-6
26,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-7
27,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-8
28,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-9
29,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1100-10
30,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1011-1
31,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1011-2
32,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1011-3
33,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1011-4
34,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1011-5
35,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1011-6
36,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1011-7
37,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1010-1
38,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1010-2
39,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1010-3
40,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1010-4
41,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1010-5
42,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1010-6
43,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1010-8
44,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1010-9
45,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1010-10
46,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1000-1
47,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1000-2
48,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1000-3
49,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1000-4
50,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1000-5
51,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1000-6
52,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1000-7
53,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1000-8
54,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1000-9
55,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1000-10
56,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0011-1
57,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0011-2
58,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0011-3
59,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0011-4
60,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0011-5
61,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0011-6
62,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0011-7
63,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0011-8
64,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0011-9
65,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0011-10
66,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0010-1
67,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0010-2
68,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0010-3
69,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0010-4
70,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0010-5
71,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0010-6
72,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0010-7
73,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0010-8
74,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0010-9
75,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0010-10
